locatie_naam,printer_naam,merk,model,inventaris_id,inventaris_url,bron_status
Merksem,Dymo Label Manager,Dymo,Dymo Labelmaker 350D,PROFO-PT-20XX-016,,Uitleenbaar Ingezet
Brussel,Dymo Labelwriter,Dymo,Dymo Labelwriter 450,PROFO-PT-20XX-011,,Uitleenbaar Ingezet
Merksem,HP Color Laserjet A3 kleurenprinter,HP,HP Color Laserjet 5550n,PROFO-PT-20XX-015,,Uitleenbaar Ingezet
Heist Op Den Berg,HP Color LaserJet Pro MFP 4302fdw,HP,HP printer/scanner,PROFO-PT-2024-001,https://inventaris.picture360.eu/hardware/966,Uitleenbaar Ingezet
Zele,HP Laserjet 4250,HP,HP Laserjet 4250dtn,PROFO-PT-20XX-017,,Uitleenbaar Ingezet
Leuven,HP Laserjet P4015x,HP,HP Laserjet,PROFO-PT-20XX-004,https://inventaris.picture360.eu/hardware/600,Uitleenbaar Ingezet
Hasselt,HP Laserjet P4015x,HP,HP Laserjet,PROFO-PT-20XX-005,,Uitleenbaar Ingezet
Heist Op Den Berg,HP Laserjet P4015x,HP,HP Laserjet,PROFO-PT-20XX-006,,Uitleenbaar Ingezet
Heist Op Den Berg,HP Laserjet P4015x,HP,HP Laserjet,PROFO-PT-20XX-007,,Uitleenbaar Ingezet
Nieuwpoort,HP Laserjet P4015x,HP,HP Laserjet,PROFO-PT-20XX-008,,Uitleenbaar Ingezet
Oostende,HP Laserjet P4015x,HP,HP Laserjet,PROFO-PT-20XX-009,,Uitleenbaar Ingezet
Maasmechelen,HP Laserjet P4015x,HP,HP Laserjet,PROFO-PT-20XX-010,,Uitleenbaar Ingezet
Merksem,HP Laserjet P4015x,HP,HP Laserjet,PROFO-PT-20XX-013,,Uitleenbaar Ingezet
Merksem,HP Laserjet P4015x,HP,HP Laserjet,PROFO-PT-20XX-014,,Uitleenbaar Ingezet
Mechelen,HP LASERJET PRO MFP M479fdw,HP,HP printer/scanner,PROFO-PT-2023-004,,Uitleenbaar Ingezet
Merksem,HP Printer/Scanner,HP,HP Laserjet M477fdw,PROFO-PT-2019-002,,Uitleenbaar Ingezet
Oostende,HP Printer/Scanner,HP,HP Laserjet M477fdw,PROFO-PT-2019-003,,Uitleenbaar Ingezet
Nieuwpoort,HP printer/scanner,HP,HP MFP M479fdw,PROFO-PT-2020-001,,Uitleenbaar Ingezet
Lommel,HP printer/scanner,HP,HP MFP M282nw,PROFO-PT-2020-003,,Uitleenbaar Ingezet
Sint-Niklaas,HP printer/scanner,HP,HP MFP M479fdw,PROFO-PT-2020-006,,Uitleenbaar Ingezet
Oudenaarde,HP printer/scanner,HP,HP MFP M479fdw,PROFO-PT-2021-001,,Uitleenbaar Ingezet
Maasmechelen,HP printer/scanner,HP,HP M283fdw,PROFO-PT-2021-002,,Uitleenbaar Ingezet
Leuven,HP printer/scanner,HP,HP M283fdw,PROFO-PT-2022-001,,Uitleenbaar Ingezet
Oostende,HP printer/scanner,HP,HP M283fdw,PROFO-PT-2023-003,,Uitleenbaar Ingezet
Brussel,HP Printer/Scanner,HP,HP Color Laserjet Pro,PROFO-PT-20XX-018,,Uitleenbaar Ingezet
Maasmechelen,KYOCERA printer,KYOCERA,KYOCERA,PROFO-PT-2024-003,,Uitleenbaar Ingezet
Oudenaarde,Ricoh Gelprinter,Ricoh,Ricoh Gelprinter,PROFO-PT-20XX-002,,Uitleenbaar Ingezet
